,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread
4079,1180.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,53.125,381.4177098457639,-1055.26,40.75540503730816,-845.9676126342794,0.0,42.58858425525092,17.117117117117118
4080,1200.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,55.5,381.4177098457639,-1075.26,42.577411380152526,-862.0009620009621,0.0,44.492544492544496,17.24137931034483
4081,1220.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,58.0,381.4177098457639,-1095.26,44.49531279367291,-878.0343113676447,0.0,46.49671316337983,16.52892561983471
4082,1240.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,60.5,381.4177098457639,-1115.26,46.41321420719329,-894.0676607343274,0.0,48.50088183421517,15.873015873015873
4083,1260.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,63.125,381.4177098457639,-1135.26,48.4270106913897,-910.1010101010102,0.0,50.60525893859227,14.50381679389313
4084,1280.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,66.0,381.4177098457639,-1155.26,50.63259731693814,-926.1343594676929,0.0,52.91005291005291,14.598540145985401
4085,1300.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,68.625,381.4177098457639,-1175.26,52.646393801134536,-942.1677088343755,0.0,55.01443001443002,13.380281690140846
4086,1360.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,78.0,381.4177098457639,-1235.26,59.83852410183598,-990.2677569344237,0.0,62.53006253006253,12.422360248447205
4087,1380.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,81.0,381.4177098457639,-1255.26,62.14000579806044,-1006.3011063011063,0.0,64.93506493506494,11.976047904191617
4088,1400.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,84.5,381.4177098457639,-1275.26,64.82506777698897,-1022.334455667789,0.0,67.74090107423442,11.494252873563218
4089,1420.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,87.6,381.4177098457639,-1295.26,67.20326552975425,-1038.3678050344718,0.0,70.22607022607023,10.450250138966098
4090,1440.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,91.5,381.4177098457639,-1315.26,70.19519173484605,-1054.4011544011544,0.0,73.35257335257336,10.638297872340425
4091,1480.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,98.5,381.4177098457639,-1355.26,75.56531569270312,-1086.4678531345198,0.0,78.9642456309123,9.900990099009901
